Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
4.3,5.7,1425.0,0
1.6,0.8,50.0,1
0.1,0.1,2025.0,0
8.1,0.2,800.0,0
0.7,8.1,150.0,0
0.1,4.1,900.0,1
0.1,8.1,1600.0,1
3.6,1.0,1150.0,0
5.8,3.1,50.0,0
8.1,8.0,1225.0,1
8.0,3.9,1275.0,0
4.5,8.1,50.0,1
0.1,0.3,900.0,1
1.5,4.5,50.0,0
0.1,4.6,1775.0,1
4.7,0.4,400.0,1
0.1,7.1,850.0,1
2.8,8.1,1350.0,1
6.4,1.6,1250.0,0
8.1,1.6,200.0,1
2.6,3.6,1175.0,0
0.1,2.2,1400.0,0
5.5,8.1,1375.0,0
0.3,2.6,375.0,1
1.7,5.8,1375.0,0
2.4,0.3,625.0,0
2.6,6.6,75.0,0
6.9,6.0,1325.0,1
4.9,3.4,1300.0,1
0.5,6.0,375.0,1
0.1,2.3,2050.0,1
4.0,1.9,50.0,0
