Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
4.9,0.1,1925.0,0
7.9,7.9,50.0,1
0.4,3.4,275.0,1
6.4,7.9,2000.0,0
7.6,0.7,275.0,1
0.1,5.5,1925.0,1
7.0,4.0,1250.0,1
2.5,2.8,1175.0,1
0.1,7.3,575.0,1
3.7,6.7,1325.0,1
3.7,1.0,125.0,1
5.2,3.7,2000.0,0
7.9,7.3,1250.0,1
7.9,3.7,50.0,1
7.9,0.1,1700.0,0
1.0,1.0,50.0,0
1.6,5.2,1250.0,1
6.7,0.4,875.0,0
0.1,2.2,800.0,0
4.6,1.6,1175.0,1
0.4,7.0,1475.0,0
5.8,7.9,1400.0,0
4.3,4.0,1325.0,1
1.0,1.0,1100.0,0
1.3,4.9,125.0,1
5.2,0.4,350.0,0
0.4,4.0,875.0,1
7.9,6.1,50.0,1
7.9,5.5,1325.0,0
7.9,2.5,1325.0,0
2.2,7.6,1400.0,0
6.7,0.4,2000.0,0
