Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase
7.5,3.5,1
2.0,8.1,0
2.5,3.1,1
1.6,5.5,1
5.0,2.7,0
1.8,6.8,1
6.2,3.3,0
1.8,4.2,1
