Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
0.9,3.3,-1,2127173FRME3
7.3,1.3,-1,711727O6TAZN
1.7,8.1,-1,774772Y6PQ7W
3.7,0.9,-1,15172141AP0T
1.3,5.7,-1,72111242I3LS
1.3,0.9,-1,111157K0RYRJ
2.5,0.9,-1,175271NTQTDJ
6.1,1.3,-1,171271EMNHOV
