Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase
1.7,4.1,0
8.1,1.2,0
4.0,8.1,1
3.9,0.5,0
0.1,0.6,0
3.0,6.0,1
6.0,0.8,1
0.8,2.4,0
