Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
1.7,4.1,-1,131159THYIZM
8.1,1.2,-1,130935KYSH5U
4.0,8.1,-1,399193UG0I51
3.9,0.5,-1,991110LPBVWU
0.1,0.6,-1,173107K0V6NM
3.0,6.0,-1,909133RQ0SSG
6.0,0.8,-1,139107Q3B7P6
0.8,2.4,-1,051915LLYRI1
