Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
3.7,2.5,-1,515844RPTDBA
1.9,8.1,-1,715852NNGWQK
8.1,1.3,-1,818262JHNEUZ
1.8,5.0,-1,7788798SQB2A
5.5,0.4,-1,1987185ESEDD
6.3,2.3,-1,676717QE0RJI
3.0,6.5,-1,446511X6KWYE
3.8,0.7,-1,549514H418CL
