Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
6.5,1.8,175.0,1
0.1,7.9,2050.0,0
0.1,0.1,1400.0,0
8.1,8.1,1375.0,0
1.6,8.1,100.0,0
0.6,2.3,50.0,0
3.6,4.6,1275.0,1
8.1,2.7,1300.0,1
0.1,3.6,2025.0,0
4.1,0.5,1000.0,0
0.1,5.3,750.0,0
4.4,8.1,1475.0,1
8.1,0.1,775.0,0
3.4,0.7,200.0,1
1.4,6.9,1375.0,0
2.2,5.0,50.0,0
0.8,3.1,1275.0,0
0.8,0.2,625.0,0
6.6,5.4,1225.0,1
4.5,8.1,50.0,1
0.3,0.9,2050.0,0
5.4,2.6,1275.0,1
0.1,2.7,675.0,1
5.8,0.1,575.0,0
0.1,5.1,1575.0,1
1.9,1.1,1125.0,1
6.4,0.6,1150.0,0
0.1,7.3,475.0,0
8.0,3.4,50.0,1
0.4,4.3,275.0,1
4.5,2.4,50.0,0
3.3,2.5,1275.0,0
