Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_30_2_(mM),Phase,Barcode
0.7,3.3,-1,328158URKINS
8.1,3.0,-1,332847UZFABK
1.0,8.1,-1,410482X8ZG3S
4.3,1.1,-1,2240759U6S7G
1.2,0.2,-1,883121GGJ166
1.2,5.7,-1,148310W5N3XK
6.0,2.5,-1,114870T3PWJS
0.1,1.6,-1,308202I2ESWK
