Conc_AP_Lys_100_(mM),Conc_AP_Asp_30_(mM),Phase,Barcode
0.4,7.8,-1,677087L0WH4J
8.1,2.2,-1,628327HKRUAN
1.4,1.1,-1,683816OXAAXF
4.8,1.3,-1,862128EXO89R
0.1,2.8,-1,3148829YLCZ3
6.3,2.5,-1,630303P1HC1S
3.1,1.8,-1,814636GGJSA4
0.1,1.4,-1,287308QGGESA
