Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
1.3,1.6,50.0,1
7.9,0.1,2000.0,0
5.2,7.9,1325.0,1
7.9,0.7,200.0,0
0.1,4.3,1775.0,0
1.0,7.6,200.0,1
3.7,1.3,1175.0,1
0.7,7.9,1400.0,1
0.7,4.3,800.0,1
0.1,0.1,875.0,1
7.3,2.2,1250.0,1
4.3,0.4,350.0,0
4.6,4.6,1400.0,0
6.4,3.4,50.0,1
0.1,2.2,1325.0,1
6.7,0.4,800.0,1
2.2,5.8,1325.0,1
1.0,4.9,200.0,1
0.1,6.7,800.0,0
2.8,6.1,50.0,1
6.4,5.8,1325.0,1
4.0,2.2,50.0,1
0.1,2.2,725.0,0
2.5,3.1,1175.0,0
2.2,0.4,950.0,0
0.7,0.4,425.0,1
5.8,1.6,125.0,1
3.4,7.3,1325.0,1
0.7,4.0,1325.0,1
1.9,3.4,50.0,0
5.5,3.1,1250.0,1
2.8,7.9,125.0,1
