Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase
1.2,0.3,0
8.0,8.1,1
8.0,1.2,1
2.6,6.0,0
4.6,0.7,1
1.7,3.3,0
3.9,8.1,1
2.9,0.6,1
