Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
1.0,8.0,1650.0,0
8.1,0.2,500.0,0
0.1,2.1,200.0,1
0.4,0.1,2050.0,0
8.1,7.0,1250.0,0
3.4,8.0,50.0,0
4.0,3.0,1225.0,1
4.7,2.7,50.0,1
0.1,3.9,1600.0,0
0.1,6.1,450.0,0
8.1,2.9,1300.0,1
0.4,0.1,1050.0,1
4.3,6.8,1275.0,1
3.7,0.1,650.0,0
8.1,3.5,50.0,1
2.5,4.9,50.0,1
6.1,0.7,1100.0,1
0.1,6.0,2050.0,0
1.8,5.7,1325.0,0
6.1,4.7,1250.0,0
2.5,1.0,100.0,1
1.5,2.4,1150.0,1
5.7,0.6,300.0,1
1.0,8.1,175.0,1
0.1,1.5,1575.0,0
0.9,0.2,475.0,0
6.1,8.1,1375.0,1
0.3,2.6,2050.0,0
0.5,4.3,175.0,1
2.6,8.1,1300.0,1
8.1,1.1,975.0,1
3.1,1.1,1075.0,1
