Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
7.5,3.5,-1,144001JP35HF
2.0,8.1,-1,558415T6AQV0
2.5,3.1,-1,0354110R7BGZ
1.6,5.5,-1,214111JTYU9K
5.0,2.7,-1,704311VOILUY
1.8,6.8,-1,3301156E6BSO
6.2,3.3,-1,411437TT5R9T
1.8,4.2,-1,141115EFXDQ1
