Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_100_2_(mM),Phase
3.0,1.2,0
1.1,8.1,1
8.1,4.7,1
0.6,4.2,1
5.9,2.4,0
0.8,1.9,1
1.4,6.1,1
4.7,1.3,0
