Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_30_2_(mM),Phase
1.0,7.0,0
8.0,2.7,0
1.8,0.9,0
5.0,1.9,1
0.8,4.2,1
0.7,2.4,0
3.5,1.4,0
6.6,2.4,1
