Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_100_2_(mM),Phase
4.2,1.5,1
2.0,8.1,0
8.1,0.8,0
1.6,4.3,1
2.3,2.4,1
6.0,0.6,0
1.8,6.2,0
7.0,1.2,0
