Barcode,Cycle,Avg_Particle_Size
707017CW63NK,cycle_0,3733.9919571045575
8880111XLQSK,cycle_0,0.0
757277ZKA3LB,cycle_0,0.0
8401846EXK0I,cycle_0,1655.4440649017934
208812N5Z6SZ,cycle_0,0.0
277088S9YM0D,cycle_0,666.6756756756756
844848CZJ2UQ,cycle_0,2709.3654159869493
812011HBP7QA,cycle_0,0.0
287870FCSFWX,cycle_1,8894.889055472264
8890780FTPQ8,cycle_1,720.0337078651686
285885M6Q5L2,cycle_1,11041.747175141243
870255Y82HWX,cycle_1,3121.496871088861
827850BIN8SV,cycle_1,0.0
1579886R4VMD,cycle_1,3447.000735835173
5785182DDMMA,cycle_1,0.0
97781969OQDU,cycle_1,0.0
776129XSP168,cycle_2,581.0
2898666599BW,cycle_2,1205.351619644723
5512267EA1CT,cycle_2,524.0
579917679HBP,cycle_2,14803.942731277533
121296CF4HWB,cycle_2,1350.205443940376
912616LWLSJP,cycle_2,4111.1760563380285
715969S2CN53,cycle_2,663.0
792825WC5GIP,cycle_2,1064.941504178273
488148DLP8RE,cycle_3,2345.7913330193123
176422ZWLKR9,cycle_3,0.0
2577788SFRW6,cycle_3,1603.39321192053
477568NXGTQK,cycle_3,543.5
486467GWCIXI,cycle_3,1283.343320848939
4878545GRI3Y,cycle_3,797.0070921985815
88748731GMBM,cycle_3,1989.5365853658536
248616HL32QL,cycle_3,835.0120865139949
255251BBD77Q,cycle_4,617.7741935483871
5177776QEZHE,cycle_4,1091.0
875554FTAUY9,cycle_4,0.0
9951277KSXEW,cycle_4,660.1764705882352
8757592AVLIH,cycle_4,910.4444444444445
258194CKA1XE,cycle_4,609.3333333333334
813881PNO09L,cycle_4,0.0
455488AZHRKC,cycle_4,849.3333333333334
661270TQFZDB,cycle_5,0.0
106860NGBAIV,cycle_5,548.0
008606Z39IOR,cycle_5,812.19
666118SMWRB4,cycle_5,0.0
727802MWNLT2,cycle_5,750.2114695340501
107776RM38VG,cycle_5,611.1578947368421
0876176T2E5L,cycle_5,0.0
768868IEXW90,cycle_5,0.0
376131QN9N21,cycle_6,0.0
616336AHMF7W,cycle_6,676.2958333333333
146377FW3KWB,cycle_6,794.4774494556765
66116642AHNG,cycle_6,0.0
826118KIT5DT,cycle_6,841.5
332367N0MJ6J,cycle_6,0.0
333236IJOMDA,cycle_6,625.7808219178082
766713M6B0MT,cycle_6,781.0952380952381
778751ZIQUUC,cycle_7,639.0
074867DF6PHG,cycle_7,0.0
705467ZZOQUF,cycle_7,578.3333333333334
807727JA1O80,cycle_7,1203.0
174550L6VH4Y,cycle_7,0.0
227281BZXXDW,cycle_7,598.8571428571429
700451AD8A95,cycle_7,572.5263157894736
7828675EZ5BR,cycle_7,0.0
217762GJB8F4,cycle_8,667.0
128775N4XKL6,cycle_8,1077.0
171875O2Q30C,cycle_8,0.0
278177TRS8F5,cycle_8,558.0
266572D63GNJ,cycle_8,0.0
57877536IRY9,cycle_8,0.0
7711178FFPPR,cycle_8,0.0
5217277UPFJM,cycle_8,657.3859649122807
297202GQTPFR,cycle_9,655.2105263157895
1118707UIVSD,cycle_9,0.0
2194722DK37B,cycle_9,626.7666666666667
747204DK3UHW,cycle_9,655.4545454545455
124794GR9L2X,cycle_9,0.0
991787GFA6EX,cycle_9,0.0
261197TB3VWE,cycle_9,671.175
487846PGS471,cycle_9,638.8333333333334
