Barcode,Cycle,Particle_Count
707017CW63NK,cycle_0,373
8880111XLQSK,cycle_0,0
757277ZKA3LB,cycle_0,0
8401846EXK0I,cycle_0,2342
208812N5Z6SZ,cycle_0,0
277088S9YM0D,cycle_0,37
844848CZJ2UQ,cycle_0,1226
812011HBP7QA,cycle_0,0
287870FCSFWX,cycle_1,667
8890780FTPQ8,cycle_1,267
285885M6Q5L2,cycle_1,708
870255Y82HWX,cycle_1,799
827850BIN8SV,cycle_1,0
1579886R4VMD,cycle_1,1359
5785182DDMMA,cycle_1,0
97781969OQDU,cycle_1,0
776129XSP168,cycle_2,1
2898666599BW,cycle_2,1914
5512267EA1CT,cycle_2,1
579917679HBP,cycle_2,454
121296CF4HWB,cycle_2,1543
912616LWLSJP,cycle_2,710
715969S2CN53,cycle_2,29
792825WC5GIP,cycle_2,718
488148DLP8RE,cycle_3,2123
176422ZWLKR9,cycle_3,0
2577788SFRW6,cycle_3,1208
477568NXGTQK,cycle_3,4
486467GWCIXI,cycle_3,801
4878545GRI3Y,cycle_3,141
88748731GMBM,cycle_3,1271
248616HL32QL,cycle_3,1572
255251BBD77Q,cycle_4,31
5177776QEZHE,cycle_4,2
875554FTAUY9,cycle_4,0
9951277KSXEW,cycle_4,34
8757592AVLIH,cycle_4,90
258194CKA1XE,cycle_4,3
813881PNO09L,cycle_4,0
455488AZHRKC,cycle_4,30
661270TQFZDB,cycle_5,0
106860NGBAIV,cycle_5,1
008606Z39IOR,cycle_5,100
666118SMWRB4,cycle_5,0
727802MWNLT2,cycle_5,558
107776RM38VG,cycle_5,19
0876176T2E5L,cycle_5,0
768868IEXW90,cycle_5,0
376131QN9N21,cycle_6,0
616336AHMF7W,cycle_6,240
146377FW3KWB,cycle_6,643
66116642AHNG,cycle_6,0
826118KIT5DT,cycle_6,4
332367N0MJ6J,cycle_6,0
333236IJOMDA,cycle_6,73
766713M6B0MT,cycle_6,21
778751ZIQUUC,cycle_7,3
074867DF6PHG,cycle_7,0
705467ZZOQUF,cycle_7,3
807727JA1O80,cycle_7,3
174550L6VH4Y,cycle_7,0
227281BZXXDW,cycle_7,7
700451AD8A95,cycle_7,19
7828675EZ5BR,cycle_7,0
217762GJB8F4,cycle_8,1
128775N4XKL6,cycle_8,2
171875O2Q30C,cycle_8,0
278177TRS8F5,cycle_8,4
266572D63GNJ,cycle_8,0
57877536IRY9,cycle_8,0
7711178FFPPR,cycle_8,0
5217277UPFJM,cycle_8,57
297202GQTPFR,cycle_9,19
1118707UIVSD,cycle_9,0
2194722DK37B,cycle_9,60
747204DK3UHW,cycle_9,22
124794GR9L2X,cycle_9,0
991787GFA6EX,cycle_9,0
261197TB3VWE,cycle_9,40
487846PGS471,cycle_9,6
