Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_100_2_(mM),Phase
4.0,2.3,1
0.3,8.1,0
8.1,3.4,1
0.2,3.9,0
1.1,0.9,1
5.9,3.3,1
0.5,6.0,1
2.7,1.3,1
