Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
1.4,4.3,-1,277088S9YM0D
8.1,0.1,-1,757277ZKA3LB
8.1,8.1,-1,707017CW63NK
3.4,0.1,-1,8880111XLQSK
6.0,4.1,-1,844848CZJ2UQ
3.7,8.1,-1,8401846EXK0I
0.1,7.7,-1,208812N5Z6SZ
0.1,1.1,-1,812011HBP7QA
