Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
7.1,0.2,425.0,0
0.1,8.0,2025.0,1
3.6,8.1,50.0,0
0.1,1.0,1200.0,1
8.1,6.2,1350.0,1
2.5,2.7,50.0,1
3.1,5.1,1275.0,1
0.1,6.0,475.0,1
0.1,3.6,2050.0,0
6.3,2.3,1325.0,1
3.4,0.1,750.0,0
7.9,3.4,50.0,1
5.1,8.1,1250.0,1
1.3,8.1,1200.0,1
0.1,0.4,325.0,1
0.1,4.2,1150.0,1
2.9,2.0,1325.0,0
5.3,1.9,50.0,0
0.1,3.2,400.0,0
2.3,5.6,50.0,1
0.9,5.8,1675.0,0
8.1,0.6,1050.0,1
5.7,4.9,1400.0,1
1.0,8.1,175.0,1
5.7,0.4,950.0,1
2.5,0.4,200.0,1
8.1,3.8,1250.0,1
1.4,1.1,750.0,1
0.3,2.7,1550.0,1
3.2,7.2,1400.0,0
7.3,8.1,1225.0,1
5.0,0.3,400.0,0
