Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
3.7,0.4,800.0,1
7.9,7.9,1250.0,1
0.1,7.9,425.0,1
0.1,4.3,1700.0,1
7.9,2.8,50.0,0
7.9,2.5,1400.0,0
1.3,3.4,50.0,0
3.1,7.6,1325.0,1
4.3,7.9,50.0,1
4.0,3.7,1325.0,0
0.1,1.0,1100.0,1
7.6,0.1,725.0,0
0.7,0.1,275.0,0
4.6,2.2,50.0,0
0.1,7.6,1550.0,1
0.1,4.9,650.0,0
6.7,5.2,1325.0,0
1.9,6.1,125.0,1
5.5,1.6,1175.0,1
1.6,3.1,1250.0,0
1.9,5.5,1400.0,0
3.1,0.4,200.0,0
5.5,7.9,1325.0,1
0.1,2.2,575.0,0
5.5,0.7,425.0,1
4.6,5.8,1325.0,1
1.6,0.1,800.0,0
7.9,1.0,275.0,1
3.4,1.9,1175.0,1
7.9,0.7,1175.0,1
6.1,3.4,1325.0,0
2.5,7.9,200.0,1
