Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
1.3,2.9,1050.0,0
7.3,0.9,1150.0,1
0.5,7.7,250.0,0
5.3,6.9,1350.0,1
0.5,6.5,2050.0,0
2.1,0.5,150.0,0
0.1,6.1,950.0,0
0.5,0.1,950.0,0
2.5,6.1,1350.0,0
0.9,2.9,150.0,1
0.1,8.1,1550.0,1
0.5,5.3,250.0,1
0.5,4.9,1650.0,1
0.1,0.9,450.0,1
0.1,4.1,850.0,0
6.9,2.5,1250.0,1
0.1,2.1,850.0,1
1.7,6.9,150.0,1
2.1,4.1,1150.0,0
0.9,1.3,1150.0,0
6.1,5.7,1350.0,0
0.5,1.3,150.0,1
0.1,6.1,1750.0,0
0.5,6.9,1450.0,0
1.7,0.5,950.0,0
0.9,5.7,1450.0,0
0.9,3.7,1250.0,0
0.1,0.5,1250.0,1
0.1,6.9,750.0,1
1.7,2.5,50.0,1
2.1,2.5,1150.0,1
0.5,2.5,1150.0,0
