Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_30_2_(mM),Phase
2.3,1.3,1
1.4,8.1,1
8.1,4.1,1
0.6,4.5,0
5.8,1.5,0
0.7,2.5,1
1.5,6.2,1
7.4,2.4,0
