Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_100_2_(mM),Phase
3.8,4.4,1
8.1,1.7,1
1.5,8.1,0
5.4,2.1,1
2.1,5.9,1
6.9,3.1,1
4.1,2.9,1
2.8,7.3,1
