Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase
1.4,4.3,0
8.1,1.4,1
4.2,8.1,1
3.6,0.2,0
0.8,1.3,1
2.5,6.4,0
5.8,1.0,1
2.0,0.2,0
