Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
1.4,4.3,-1,713191XNV66W
8.1,1.4,-1,001714U6Y4K9
4.2,8.1,-1,012030Q39JUL
3.6,0.2,-1,793711M1WIPS
0.8,1.3,-1,141797CPN37G
2.5,6.4,-1,011210Y55ZPO
5.8,1.0,-1,977072OFT6WW
2.0,0.2,-1,021172KA5MOM
