Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_30_2_(mM),Phase,Barcode
1.9,1.0,-1,202272OAMJYW
0.4,8.1,-1,302322UH9IBL
8.0,3.1,-1,1711211F4QFH
0.2,4.3,-1,323611D4Q4VA
4.9,2.2,-1,167671SNZ0YS
0.5,2.4,-1,712671G8M5VB
0.3,6.2,-1,221023U7ERX6
3.5,1.3,-1,361620P5BREV
