Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Phase,Barcode
0.6,0.8,900.0,-1,1227943DYOSO
5.6,7.6,1500.0,-1,417943IV49WE
7.6,0.5,1100.0,-1,724134CLPNUV
0.0625,7.6,800.0,-1,117979FHUU3M
4.0,3.6,1200.0,-1,1442196R8JTG
7.6,4.0,1500.0,-1,114744UEXCXS
4.0,0.0625,1000.0,-1,3119132LGBKY
0.6,4.4,900.0,-1,377241UVYC6F
2.8,6.8,1200.0,-1,147149POU9M0
5.6,1.6,1200.0,-1,749143U2SCFL
2.4,2.4,1100.0,-1,749272KGR91I
2.4,4.8,1100.0,-1,799173I27EMI
6.0,5.6,1500.0,-1,221777HKCBTM
1.2,6.4,1000.0,-1,311479K0JXSK
6.0,0.0625,1000.0,-1,797377TK7BBB
2.4,0.6,1000.0,-1,139744C4R69O
