Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Phase
0.6,0.8,900,0
5.6,7.6,1500,1
7.6,0.5,1100,0
0.0625,7.6,800,1
4.0,3.6,1200,0
7.6,4.0,1500,1
4.0,0.0625,1000,1
0.6,4.4,900,1
2.8,6.8,1200,0
5.6,1.6,1200,0
2.4,2.4,1100,1
2.4,4.8,1100,0
6.0,5.6,1500,0
1.2,6.4,1000,0
6.0,0.0625,1000,1
2.4,0.6,1000,1
