Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
0.2,6.8,425.0,0
8.1,0.6,1325.0,0
0.1,1.2,2050.0,1
6.8,8.1,1350.0,1
2.8,0.2,75.0,0
0.1,7.8,2050.0,1
8.0,3.5,50.0,1
3.7,3.7,1250.0,1
0.2,0.1,975.0,1
3.9,8.1,75.0,1
2.8,7.7,1300.0,1
6.4,0.3,450.0,0
8.1,4.5,1200.0,1
0.3,3.0,275.0,1
0.1,5.0,1275.0,1
4.4,3.4,50.0,1
3.6,0.5,950.0,0
0.2,4.4,2050.0,0
2.4,5.6,50.0,1
1.1,2.4,1300.0,0
6.1,2.4,1200.0,0
5.5,5.7,1375.0,1
0.3,7.5,1400.0,1
0.6,0.6,375.0,1
0.5,4.7,700.0,1
8.1,1.2,150.0,1
2.3,5.5,1225.0,0
4.8,1.2,125.0,1
1.9,8.1,300.0,1
5.8,0.4,975.0,1
8.1,0.2,775.0,0
2.2,3.4,50.0,1
