Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
1.0,1.6,575.0,1
7.9,7.9,1325.0,0
0.1,7.9,1700.0,0
7.9,0.1,1325.0,0
2.8,7.9,50.0,0
6.4,2.2,50.0,0
4.6,4.0,1325.0,1
0.1,3.1,1700.0,0
3.7,7.9,1100.0,1
0.1,5.5,425.0,0
4.6,0.7,800.0,1
7.9,3.7,1475.0,0
2.5,3.7,50.0,1
0.1,0.1,1250.0,0
1.6,5.5,1325.0,1
7.9,0.1,500.0,0
2.5,1.9,1250.0,0
0.4,7.9,725.0,1
6.1,6.1,1175.0,1
6.4,2.2,1100.0,1
4.0,1.3,200.0,1
0.1,3.1,125.0,0
2.2,0.1,875.0,0
1.6,7.9,1250.0,1
1.9,5.8,50.0,0
0.1,5.2,1775.0,1
4.0,6.1,1325.0,0
7.9,5.8,1400.0,0
2.5,3.7,1475.0,0
6.1,1.3,500.0,1
1.0,7.3,275.0,1
4.6,1.9,1250.0,0
