Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase
6.7,7.3,1
7.3,1.0,0
7.9,5.5,1
5.5,7.9,1
7.9,6.7,1
7.0,6.4,1
7.3,5.8,1
6.1,7.6,1
