Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
0.5,1.4,-1,3262101MYTSH
7.9,1.1,-1,27030313ONK0
3.5,8.1,-1,175703P6NWY7
4.2,0.7,-1,220260YL94WC
2.3,4.6,-1,252062R7QTCK
2.2,0.4,-1,712213JV4GYZ
2.7,6.4,-1,235716YX83KK
6.1,0.7,-1,221120M6UMIS
