Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_30_2_(mM),Phase,Barcode
0.5,6.8,-1,201027NP0XVB
8.1,2.6,-1,307273TFXMCP
2.4,1.2,-1,357120EUE6ET
0.5,3.7,-1,777729Z1WXBU
5.2,2.1,-1,300220S6ON26
1.1,2.2,-1,030523XSBBTT
0.3,5.2,-1,29309230S1U8
3.9,1.3,-1,220215S10HLZ
