Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_30_2_(mM),Phase,Barcode
0.5,2.1,-1,339090ZL9HHJ
8.1,2.8,-1,832000IH2NFW
0.5,8.0,-1,700091D1JD9R
4.4,1.8,-1,770119ULMAMM
0.2,5.0,-1,830939FKL2LT
2.3,0.8,-1,807011DIDDE8
6.1,2.7,-1,277729VCCXQQ
0.8,0.5,-1,718207Z14G1P
