Conc_AP_Lys_100_(mM),Conc_AP_Asp_30_(mM),Phase,Barcode
7.7,2.6,-1,036453O1B7SF
0.2,8.0,-1,180039YF8JNQ
0.2,0.1,-1,0287040WOEIF
3.9,1.5,-1,109586TZS0DX
0.6,4.0,-1,229133AUQ9C3
1.9,1.2,-1,2936084OWKA0
0.4,6.0,-1,5365016W8FR9
5.7,2.3,-1,351079G6NJFL
