Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase
3.4,6.8,1
7.1,0.1,0
0.1,0.1,0
8.1,5.0,1
3.6,2.5,1
0.1,4.5,0
6.6,8.1,1
5.3,4.7,1
