Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
1.2,0.3,-1,1878034BID9Y
8.0,8.1,-1,110077N6OGWD
8.0,1.2,-1,117850Q0CNUI
2.6,6.0,-1,311881R4J1ND
4.6,0.7,-1,1810118QK1Z0
1.7,3.3,-1,115797UZH9NF
3.9,8.1,-1,7570797C8HY7
2.9,0.6,-1,817975AVJJVK
