Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase
1.7,2.1,1
8.1,0.9,0
2.1,8.1,1
4.9,1.3,1
0.5,4.9,0
1.3,6.5,0
0.5,3.3,0
3.3,1.3,1
