Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_30_2_(mM),Phase
1.5,0.8,1
0.5,8.1,1
8.0,3.0,1
0.3,4.4,1
4.7,2.0,1
0.5,2.5,1
0.3,6.3,1
3.2,1.1,0
