Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_30_2_(mM),Phase
0.7,1.2,0
7.9,2.7,1
1.0,6.8,1
4.3,1.7,1
0.8,4.0,1
6.0,2.2,0
2.6,1.2,1
0.9,5.4,1
