Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_30_2_(mM),Phase
2.4,0.8,0
8.1,8.1,1
0.1,8.1,0
8.1,2.2,0
4.1,5.4,1
0.1,4.1,0
5.6,0.1,0
7.2,5.1,1
