Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
3.2,4.6,1300.0,0
8.1,1.0,125.0,0
1.0,0.6,50.0,0
0.5,8.1,225.0,0
0.1,0.2,2025.0,0
8.1,8.1,1250.0,1
8.0,3.0,1275.0,0
0.1,8.1,1675.0,0
4.4,0.3,875.0,0
0.3,4.1,575.0,1
0.3,0.1,1025.0,1
4.5,2.6,50.0,1
0.1,4.2,1800.0,0
4.4,8.1,1350.0,0
4.0,7.7,50.0,1
7.6,0.3,875.0,0
6.4,5.6,1350.0,0
2.1,5.3,50.0,0
0.1,6.8,900.0,1
0.6,2.8,1200.0,0
5.2,2.5,1250.0,0
5.6,0.4,275.0,0
2.0,6.9,1350.0,1
7.0,3.2,50.0,1
2.1,0.4,600.0,1
2.8,1.7,1175.0,1
1.8,2.9,50.0,0
0.1,1.7,550.0,1
3.4,0.7,150.0,0
0.4,6.0,325.0,1
1.1,4.8,1350.0,1
0.1,2.3,2025.0,0
