Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
3.4,1.0,-1,642112FLA3NL
7.9,7.9,-1,7024160Q422S
0.1,7.9,-1,144004279JS5
7.9,2.8,-1,266106MTUIU7
4.0,5.5,-1,20714206UZNL
0.1,3.7,-1,622142IMM24Y
0.1,0.1,-1,442671N1ZYGX
6.4,0.1,-1,166244TSPO5B
