Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_30_2_(mM),Phase
2.0,6.5,1
8.1,3.3,1
4.1,3.1,1
3.4,8.1,1
6.1,3.9,1
2.5,4.4,1
1.9,8.0,1
3.9,4.5,1
