Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_30_2_(mM),Phase,predicted_Phase,probability_Phase_0,probability_Phase_1
0.1,0.1,-1,0,0.6975731349942293,0.30242686500577065
0.2,0.1,-1,0,0.6968482766057491,0.3031517233942509
0.3,0.1,-1,0,0.6970912963553246,0.30290870364467537
0.4,0.1,-1,0,0.6985730547074809,0.3014269452925191
0.5,0.1,-1,0,0.7015807525531272,0.29841924744687276
0.6,0.1,-1,0,0.7064022811914583,0.2935977188085417
0.7,0.1,-1,0,0.7133041207480915,0.28669587925190854
0.8,0.1,-1,0,0.7225030657076559,0.2774969342923441
0.9,0.1,-1,0,0.7341334681170792,0.26586653188292075
1.0,0.1,-1,0,0.7482135679515522,0.25178643204844775
1.1,0.1,0,0,0.7646165137014123,0.23538348629858774
1.2,0.1,-1,0,0.7830531919879604,0.21694680801203958
1.3,0.1,-1,0,0.8030740090930522,0.19692599090694785
1.4,0.1,-1,0,0.8240943961792482,0.17590560382075182
1.5,0.1,-1,0,0.8454438751376756,0.1545561248623244
1.6,0.1,-1,0,0.8664321642131654,0.13356783578683462
1.7,0.1,-1,0,0.8864203506126387,0.11357964938736131
1.8,0.1,-1,0,0.9048830518053137,0.0951169481946863
1.9,0.1,-1,0,0.9214498367347232,0.07855016326527675
2.0,0.1,-1,0,0.9359200446166369,0.06407995538336309
2.1,0.1,-1,0,0.9482521207216905,0.05174787927830948
2.2,0.1,-1,0,0.9585341696550813,0.041465830344918686
2.3,0.1,-1,0,0.9669450894879219,0.033054910512078095
2.4,0.1,-1,0,0.9737152336274448,0.02628476637255517
2.5,0.1,-1,0,0.9790929753896762,0.020907024610323788
2.6,0.1,-1,0,0.9833202317685164,0.01667976823148365
2.7,0.1,-1,0,0.986617170543127,0.013382829456872969
2.8,0.1,-1,0,0.9891745998976376,0.010825400102362437
2.9,0.1,-1,0,0.9911519069836459,0.008848093016354142
3.0,0.1,-1,0,0.9926785054150287,0.007321494584971333
3.1,0.1,-1,0,0.9938571732727723,0.006142826727227657
3.2,0.1,-1,0,0.9947681459001387,0.005231854099861266
3.3,0.1,-1,0,0.9954732462508673,0.004526753749132695
3.4,0.1,-1,0,0.9960196530439589,0.003980346956041103
3.5,0.1,-1,0,0.9964431267118243,0.003556873288175666
3.6,0.1,-1,0,0.9967706522176059,0.003229347782394143
3.7,0.1,-1,0,0.9970225362442307,0.0029774637557693495
3.8,0.1,-1,0,0.9972140328953856,0.0027859671046144285
3.9,0.1,-1,0,0.9973565824712978,0.00264341752870223
4.0,0.1,-1,0,0.9974587437802711,0.0025412562197288935
4.1,0.1,-1,0,0.9975268896261014,0.002473110373898635
4.2,0.1,-1,0,0.997565722357308,0.0024342776426919954
4.3,0.1,-1,0,0.9975786541826892,0.002421345817310794
4.4,0.1,-1,0,0.9975680864719152,0.002431913528084806
4.5,0.1,-1,0,0.9975356137200606,0.00246438627993939
4.6,0.1,-1,0,0.997482171233969,0.002517828766031016
4.7,0.1,-1,0,0.9974081404873232,0.0025918595126768196
4.8,0.1,-1,0,0.9973134223312172,0.0026865776687827747
4.9,0.1,-1,0,0.9971974853830261,0.0028025146169738946
5.0,0.1,-1,0,0.997059394852613,0.002940605147387032
5.1,0.1,-1,0,0.9968978255059255,0.003102174494074461
5.2,0.1,-1,0,0.9967110613199566,0.0032889386800434295
5.3,0.1,-1,0,0.99649698352016,0.003503016479839971
5.4,0.1,-1,0,0.9962530480308942,0.003746951969105794
5.5,0.1,-1,0,0.9959762528864076,0.004023747113592435
5.6,0.1,0,0,0.995663095733903,0.004336904266097008
5.7,0.1,-1,0,0.9953095212617882,0.004690478738211823
5.8,0.1,-1,0,0.9949108581414521,0.005089141858547919
5.9,0.1,-1,0,0.9944617448868485,0.005538255113151536
6.0,0.1,-1,0,0.9939560438790522,0.006043956120947769
6.1,0.1,-1,0,0.9933867427585028,0.006613257241497195
6.2,0.1,-1,0,0.992745842359227,0.0072541576407729735
6.3,0.1,-1,0,0.9920242304448266,0.007975769555173429
6.4,0.1,-1,0,0.991211540711447,0.008788459288552986
6.5,0.1,-1,0,0.9902959968568439,0.009704003143156115
6.6,0.1,-1,0,0.9892642420735456,0.010735757926454426
6.7,0.1,-1,0,0.9881011550756966,0.011898844924303376
6.8,0.1,-1,0,0.9867896548842054,0.013210345115794553
6.9,0.1,-1,0,0.9853104980262515,0.01468950197374852
7.0,0.1,-1,0,0.9836420736821765,0.016357926317823512
7.1,0.1,-1,0,0.9817602046667844,0.018239795333215625
7.2,0.1,-1,0,0.9796379649776554,0.02036203502234457
