Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_100_2_(mM),Phase
4.5,3.1,1
2.3,8.1,1
8.1,5.3,1
1.6,4.7,1
2.2,2.2,1
6.0,4.7,1
3.2,6.1,1
2.9,3.7,1
