Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_30_2_(mM),Phase
0.5,6.8,1
8.1,2.6,0
2.4,1.2,1
0.5,3.7,1
5.2,2.1,0
1.1,2.2,1
0.3,5.2,1
3.9,1.3,0
