Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
3.3,6.5,-1,916343TYZZBW
8.0,1.1,-1,039903N937R7
3.1,1.5,-1,36700198F4TK
2.2,4.0,-1,413016LLRUIN
5.5,0.3,-1,1047069GW8EX
5.1,2.4,-1,449009OEE2IU
2.2,8.1,-1,444909SYENB7
8.1,2.9,-1,307637EV29P2
