Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase
3.3,6.5,1
8.0,1.1,0
3.1,1.5,1
2.2,4.0,1
5.5,0.3,0
5.1,2.4,1
2.2,8.1,0
8.1,2.9,1
