Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_30_2_(mM),Phase,predicted_Phase,probability_Phase_0,probability_Phase_1
0.1,0.1,-1,0,0.7898520317775137,0.21014796822248627
0.2,0.1,-1,0,0.7995457281218705,0.20045427187812948
0.3,0.1,-1,0,0.8121526394882039,0.18784736051179607
0.4,0.1,-1,0,0.827641157816629,0.17235884218337105
0.5,0.1,-1,0,0.8457046567896214,0.15429534321037863
0.6,0.1,-1,0,0.8657108227846493,0.13428917721535072
0.7,0.1,-1,0,0.8867108892700344,0.11328911072996561
0.8,0.1,-1,0,0.9075399790582424,0.09246002094175765
0.9,0.1,-1,0,0.927009919207876,0.07299008079212399
1.0,0.1,-1,0,0.9441443905280948,0.055855609471905154
1.1,0.1,-1,0,0.9583655795271397,0.041634420472860256
1.2,0.1,-1,0,0.9695530937442527,0.030446906255747308
1.3,0.1,-1,0,0.9779631189607016,0.02203688103929835
1.4,0.1,-1,0,0.9840676095367371,0.01593239046326289
1.5,0.1,-1,0,0.9883951600058936,0.011604839994106442
1.6,0.1,-1,0,0.9914247382629355,0.008575261737064466
1.7,0.1,-1,0,0.9935396116992479,0.006460388300752129
1.8,0.1,-1,0,0.9950232245776078,0.004976775422392166
1.9,0.1,-1,0,0.9960750750692569,0.0039249249307431455
2.0,0.1,-1,0,0.9968315699092045,0.003168430090795482
2.1,0.1,-1,0,0.9973846566731481,0.002615343326851871
2.2,0.1,-1,0,0.9977960777177941,0.0022039222822058946
2.3,0.1,-1,0,0.9981074344782428,0.0018925655217572057
2.4,0.1,-1,0,0.998346990193113,0.0016530098068869847
2.5,0.1,-1,0,0.9985341655384445,0.0014658344615554597
2.6,0.1,-1,0,0.9986824818590776,0.0013175181409224024
2.7,0.1,-1,0,0.9988014863274657,0.0011985136725343182
2.8,0.1,-1,0,0.9988980170221566,0.0011019829778433632
2.9,0.1,-1,0,0.9989770410802521,0.0010229589197479072
3.0,0.1,-1,0,0.999042215796635,0.0009577842033650086
3.1,0.1,-1,0,0.9990962686749754,0.000903731325024637
3.2,0.1,-1,0,0.9991412580461656,0.0008587419538343966
3.3,0.1,-1,0,0.999178754051286,0.0008212459487140222
3.4,0.1,-1,0,0.999209965898217,0.0007900341017830215
3.5,0.1,-1,0,0.9992358324367387,0.0007641675632612532
3.6,0.1,-1,0,0.9992570873789646,0.0007429126210354298
3.7,0.1,0,0,0.999274306786333,0.0007256932136670002
3.8,0.1,-1,0,0.9992879439956823,0.0007120560043176738
3.9,0.1,-1,0,0.9992983555547426,0.0007016444452574433
4.0,0.1,-1,0,0.9993058206372325,0.0006941793627674997
4.1,0.1,-1,0,0.9993105556817454,0.0006894443182545729
4.2,0.1,-1,0,0.999312725490995,0.0006872745090049648
4.3,0.1,-1,0,0.9993124516792022,0.0006875483207977595
4.4,0.1,-1,0,0.9993098191082481,0.0006901808917518792
4.5,0.1,-1,0,0.9993048807808691,0.0006951192191309019
4.6,0.1,-1,0,0.9992976615408224,0.0007023384591775539
4.7,0.1,-1,0,0.9992881608302469,0.0007118391697531479
4.8,0.1,-1,0,0.9992763546965762,0.0007236453034238366
4.9,0.1,-1,0,0.9992621971958897,0.000737802804110288
5.0,0.1,-1,0,0.9992456212913794,0.0007543787086206066
5.1,0.1,-1,0,0.9992265393344724,0.0007734606655276366
5.2,0.1,-1,0,0.9992048431874991,0.0007951568125008635
5.3,0.1,-1,0,0.9991804040279249,0.0008195959720751489
5.4,0.1,-1,0,0.9991530718727972,0.0008469281272027729
5.5,0.1,-1,0,0.9991226748416011,0.0008773251583988895
5.6,0.1,-1,0,0.9990890181757095,0.0009109818242905021
5.7,0.1,-1,0,0.9990518830248902,0.0009481169751097696
5.8,0.1,-1,0,0.9990110250033695,0.0009889749966305317
5.9,0.1,-1,0,0.9989661725160204,0.0010338274839796213
6.0,0.1,-1,0,0.9989170248545634,0.0010829751454366487
6.1,0.1,-1,0,0.998863250055706,0.0011367499442940243
6.2,0.1,-1,0,0.9988044825136058,0.0011955174863942375
6.3,0.1,-1,0,0.9987403203350596,0.0012596796649404496
6.4,0.1,-1,0,0.9986703224278699,0.0013296775721300946
6.5,0.1,-1,0,0.9985940053031754,0.001405994696824564
6.6,0.1,-1,0,0.9985108395800353,0.001489160419964719
6.7,0.1,-1,0,0.9984202461722589,0.001579753827741115
6.8,0.1,-1,0,0.9983215921389501,0.001678407861049891
6.9,0.1,-1,0,0.9982141861818263,0.001785813818173665
7.0,0.1,-1,0,0.9980972737589582,0.0019027262410418189
7.1,0.1,-1,0,0.9979700318103824,0.002029968189617648
7.2,0.1,-1,0,0.9978315630601173,0.0021684369398826675
7.3,0.1,-1,0,0.9976808898773015,0.0023191101226984756
7.4,0.1,-1,0,0.9975169476781502,0.0024830523218497547
7.5,0.1,-1,0,0.9973385778539523,0.0026614221460476983
7.6,0.1,-1,0,0.997144520198276,0.002855479801723959
7.7,0.1,-1,0,0.9969334048283827,0.0030665951716173367
7.8,0.1,-1,0,0.9967037435893644,0.0032962564106355785
7.9,0.1,-1,0,0.996453920936915,0.003546079063085017
8.0,0.1,-1,0,0.9961821843024836,0.00381781569751638
8.1,0.1,0,0,0.9958866339489987,0.0041133660510013215
0.1,0.2,-1,0,0.8142535746868589,0.18574642531314112
0.2,0.2,-1,0,0.8204860507108833,0.17951394928911668
0.3,0.2,-1,0,0.82929991772221,0.17070008227779
0.4,0.2,-1,0,0.8408288522861085,0.15917114771389151
0.5,0.2,-1,0,0.8549871015927692,0.14501289840723075
0.6,0.2,-1,0,0.8713991678077946,0.12860083219220542
0.7,0.2,-1,0,0.8893680053660091,0.11063199463399087
0.8,0.2,-1,0,0.9079176490470218,0.09208235095297823
0.9,0.2,-1,0,0.9259312414898204,0.07406875851017958
1.0,0.2,-1,0,0.9423634741021942,0.05763652589780577
1.1,0.2,-1,0,0.9564553173097465,0.04354468269025347
1.2,0.2,0,0,0.9678604006566047,0.032139599343395275
1.3,0.2,-1,0,0.976634275452966,0.023365724547034006
1.4,0.2,-1,0,0.9831132934044717,0.016886706595528267
