Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
1.7,0.5,-1,3600309ZNCT8
2.0,8.0,-1,673440ZR0B9D
8.1,3.4,-1,7340377F6ZO6
1.0,4.3,-1,3746740KOY69
4.4,3.0,-1,640667BFR8BT
0.8,2.3,-1,305306HIXLJ5
1.0,6.3,-1,305774OKAINW
2.9,1.9,-1,3300678N7RXI
