Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase
3.4,2.0,0
2.1,8.1,1
8.1,3.5,1
0.9,4.6,0
0.9,0.1,0
5.5,3.4,1
1.1,2.3,1
2.9,0.1,0
