Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase
0.7,0.5,0
0.7,2.4,1
0.6,1.7,0
1.0,0.4,0
0.6,0.6,0
0.8,0.4,0
0.6,0.5,0
0.7,0.4,0
