Phase,Conc_HEPES_(mM),pH,Conc_Dye_Cy5_AP_Lys_100_(mM),Conc_Dye_FITC_SIGMA_Asp_250_(mM),Plate_Barcode,Plate_Position,Preparation_Date,Experiment_Code,Mixing_Volume,Final_Volume,Barcode,Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Experiment_ID
3,50.0,7.4,5e-05,0.0,PSL_00015104,A3,27/08/2024 13:33,Robo023,150.0,100.0,121211EZLZHX,6.0,0.5,800.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015104,B3,27/08/2024 13:33,Robo023,150.0,100.0,121182XPTI1R,4.8,1.6,1000.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,A1,29/08/2024 10:15,Robo023,150.0,100.0,001472TG56IH,0.0625,1.6,900.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,B1,29/08/2024 10:15,Robo023,150.0,100.0,762101QYYR6I,7.6,5.6,1500.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,C1,29/08/2024 10:15,Robo023,150.0,100.0,0718189H1SCP,6.4,0.0625,800.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,D1,29/08/2024 10:15,Robo023,150.0,100.0,0116814W7XTD,2.0,7.6,1100.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,E1,29/08/2024 10:15,Robo023,150.0,100.0,710180MCZGHT,4.0,3.2,1200.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,F1,29/08/2024 10:15,Robo023,150.0,100.0,001408EY3FLK,4.8,7.6,1500.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,G1,29/08/2024 10:15,Robo023,150.0,100.0,016007CEQHZQ,0.125,5.2,800.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,H1,29/08/2024 10:15,Robo023,150.0,100.0,001018Z5UIRT,3.2,0.25,900.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,A2,29/08/2024 10:15,Robo023,150.0,100.0,0766206J6VR4,7.6,2.4,1200.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,B2,29/08/2024 10:15,Robo023,150.0,100.0,4662863Q6OC4,2.0,4.8,1100.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,C2,29/08/2024 10:15,Robo023,150.0,100.0,87667452QJ57,0.25,7.6,800.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,D2,29/08/2024 10:15,Robo023,150.0,100.0,021082V28NOO,5.6,1.6,1100.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,E2,29/08/2024 10:15,Robo023,150.0,100.0,8674787WXH4X,2.0,2.0,1000.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,F2,29/08/2024 10:15,Robo023,150.0,100.0,068748RPG1FC,0.8,3.6,900.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,G2,29/08/2024 10:15,Robo023,150.0,100.0,287181S6S254,5.6,6.0,1500.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,H2,29/08/2024 10:15,Robo023,150.0,100.0,108680N618AY,3.6,1.6,1100.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,A3,30/08/2024 07:49,Robo023,150.0,100.0,1227943DYOSO,0.6,0.8,900.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,B3,30/08/2024 07:49,Robo023,150.0,100.0,417943IV49WE,5.6,7.6,1500.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,C3,30/08/2024 07:49,Robo023,150.0,100.0,724134CLPNUV,7.6,0.5,1100.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,D3,30/08/2024 07:49,Robo023,150.0,100.0,117979FHUU3M,0.0625,7.6,800.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,E3,30/08/2024 07:49,Robo023,150.0,100.0,1442196R8JTG,4.0,3.6,1200.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,F3,30/08/2024 07:49,Robo023,150.0,100.0,114744UEXCXS,7.6,4.0,1500.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,G3,30/08/2024 07:49,Robo023,150.0,100.0,3119132LGBKY,4.0,0.0625,1000.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,H3,30/08/2024 07:49,Robo023,150.0,100.0,377241UVYC6F,0.6,4.4,900.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,A4,30/08/2024 07:49,Robo023,150.0,100.0,147149POU9M0,2.8,6.8,1200.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,B4,30/08/2024 07:49,Robo023,150.0,100.0,749143U2SCFL,5.6,1.6,1200.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,C4,30/08/2024 07:49,Robo023,150.0,100.0,749272KGR91I,2.4,2.4,1100.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,D4,30/08/2024 07:49,Robo023,150.0,100.0,799173I27EMI,2.4,4.8,1100.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,E4,30/08/2024 07:49,Robo023,150.0,100.0,221777HKCBTM,6.0,5.6,1500.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,F4,30/08/2024 07:49,Robo023,150.0,100.0,311479K0JXSK,1.2,6.4,1000.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,G4,30/08/2024 07:49,Robo023,150.0,100.0,797377TK7BBB,6.0,0.0625,1000.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,H4,30/08/2024 07:49,Robo023,150.0,100.0,139744C4R69O,2.4,0.6,1000.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,A7,2024-09-09 09:10:17,Robo023,150.0,100.0,679062EAMTNS,3.2,2.4,1100.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,B7,2024-09-09 09:10:17,Robo023,150.0,100.0,672977SQEIYO,0.0625,7.6,900.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,C7,2024-09-09 09:10:17,Robo023,150.0,100.0,079077QNW1CY,5.2,7.6,1500.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,D7,2024-09-09 09:10:17,Robo023,150.0,100.0,7577729Q99PJ,7.6,0.0625,1000.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,E7,2024-09-09 09:10:17,Robo023,150.0,100.0,7771011T6OUR,0.0625,0.0625,900.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,F7,2024-09-09 09:10:17,Robo023,150.0,100.0,610525SM5BOY,7.6,4.4,1500.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,G7,2024-09-09 09:10:17,Robo023,150.0,100.0,277001UXHE7N,0.125,4.0,900.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,H7,2024-09-09 09:10:17,Robo023,150.0,100.0,276720WBRCT5,3.2,5.6,1200.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,A8,2024-09-09 09:10:17,Robo023,150.0,100.0,777576S4BK0L,6.0,2.4,1200.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,B8,2024-09-09 09:10:17,Robo023,150.0,100.0,677701O7E1YG,4.8,0.0625,1100.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,C8,2024-09-09 09:10:17,Robo023,150.0,100.0,027105O6O9AA,2.4,0.125,1000.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,D8,2024-09-09 09:10:17,Robo023,150.0,100.0,0770973UXBLO,2.4,7.6,1100.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,E8,2024-09-09 09:10:17,Robo023,150.0,100.0,27757751XSDC,1.0,2.0,1000.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,F8,2024-09-09 09:10:17,Robo023,150.0,100.0,276702W8AHEZ,1.2,6.0,1000.0,asp250_lys100_NaCl_robotExp0
1,50.0,7.4,5e-05,0.0,PSL_00015105,G8,2024-09-09 09:10:17,Robo023,150.0,100.0,2752507C6OVG,4.4,4.0,1200.0,asp250_lys100_NaCl_robotExp0
3,50.0,7.4,5e-05,0.0,PSL_00015105,H8,2024-09-09 09:10:17,Robo023,150.0,100.0,091071WP62S5,6.4,6.0,1500.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,020626C1IODF,2.4,6.8,1100.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,416082BX96LX,7.6,0.125,900.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,022820HO4DQA,0.125,0.0625,900.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,602028TIU8P7,7.6,5.2,1500.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,022202U0BDKQ,4.0,2.4,1100.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,002044SRB145,0.0625,4.0,800.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,726627ECEATK,6.0,7.6,1500.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,214702NNSNF6,6.8,2.8,1200.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,626767OA30FV,2.8,0.0625,1100.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,012812RUHUAD,4.4,5.2,1200.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,660024VN2462,0.125,7.6,900.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,284122Z392US,1.6,2.4,1000.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,806168QEYBQY,5.2,0.3,1100.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,022222434I4Z,2.0,4.8,1000.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,647682SW6ZKJ,5.2,3.6,1200.0,asp250_lys100_NaCl_robotExp0
-1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,722227Z0M9OJ,0.8,6.0,900.0,asp250_lys100_NaCl_robotExp0
