Phase,Conc_HEPES_(mM),pH,Conc_Dye_Cy5_AP_Lys_100_(mM),Conc_Dye_FITC_SIGMA_Asp_250_(mM),Plate_Barcode,Plate_Position,Preparation_Date,Experiment_Code,Mixing_Volume,Final_Volume,Barcode,Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Experiment_ID
1,50,7.4,5.00E-05,0,PSL_00015104,A1,27/08/2024 13:33,Robo023,150,100,3171724MJHIM,0.5,0.25,1000,asp250_lys100_NaCl_robotExp0
1,50,7.4,5.00E-05,0,PSL_00015104,B1,27/08/2024 13:33,Robo023,150,100,8237175XRXKX,7.6,6,1600,asp250_lys100_NaCl_robotExp0
3,50,7.4,5.00E-05,0,PSL_00015104,C1,27/08/2024 13:33,Robo023,150,100,1771718P8U92,7.6,0.5,500,asp250_lys100_NaCl_robotExp0
1,50,7.4,5.00E-05,0,PSL_00015104,D1,27/08/2024 13:33,Robo023,150,100,111717SF04UH,1.2,7.6,1200,asp250_lys100_NaCl_robotExp0
3,50,7.4,5.00E-05,0,PSL_00015104,E1,27/08/2024 13:33,Robo023,150,100,7183319N832V,4.4,3.2,1200,asp250_lys100_NaCl_robotExp0
1,50,7.4,5.00E-05,0,PSL_00015104,F1,27/08/2024 13:33,Robo023,150,100,617267JXZZ1Z,3.6,7.6,2000,asp250_lys100_NaCl_robotExp0
1,50,7.4,5.00E-05,0,PSL_00015104,G1,27/08/2024 13:33,Robo023,150,100,132771RNF1EK,0.0625,4,900,asp250_lys100_NaCl_robotExp0
1,50,7.4,5.00E-05,0,PSL_00015104,H1,27/08/2024 13:33,Robo023,150,100,861786PWPBLR,4,0.0625,800,asp250_lys100_NaCl_robotExp0
1,50,7.4,5.00E-05,0,PSL_00015104,A2,27/08/2024 13:33,Robo023,150,100,877113TM6OT0,7.6,3.2,1500,asp250_lys100_NaCl_robotExp0
1,50,7.4,5.00E-05,0,PSL_00015104,B2,27/08/2024 13:33,Robo023,150,100,717171MBKBRS,3.2,5.6,1500,asp250_lys100_NaCl_robotExp0
3,50,7.4,5.00E-05,0,PSL_00015104,C2,27/08/2024 13:33,Robo023,150,100,767112VDJ51J,6.8,2,1000,asp250_lys100_NaCl_robotExp0
3,50,7.4,5.00E-05,0,PSL_00015104,D2,27/08/2024 13:33,Robo023,150,100,178817MF08QR,2,2.4,1000,asp250_lys100_NaCl_robotExp0
1,50,7.4,5.00E-05,0,PSL_00015104,E2,27/08/2024 13:33,Robo023,150,100,331122E9SNTY,5.2,6,2000,asp250_lys100_NaCl_robotExp0
1,50,7.4,5.00E-05,0,PSL_00015104,F2,27/08/2024 13:33,Robo023,150,100,387111HOKUKM,2,4.4,1200,asp250_lys100_NaCl_robotExp0
1,50,7.4,5.00E-05,0,PSL_00015104,G2,27/08/2024 13:33,Robo023,150,100,6287366QIXS8,5.6,4.4,1500,asp250_lys100_NaCl_robotExp0
1,50,7.4,5.00E-05,0,PSL_00015104,H2,27/08/2024 13:33,Robo023,150,100,6161763L83TH,0.0625,6.4,900,asp250_lys100_NaCl_robotExp0
3,50,7.4,5.00E-05,0,PSL_00015104,A3,27/08/2024 13:33,Robo023,150,100,121211EZLZHX,6,0.5,800,asp250_lys100_NaCl_robotExp0
3,50,7.4,5.00E-05,0,PSL_00015104,B3,27/08/2024 13:33,Robo023,150,100,121182XPTI1R,4.8,1.6,1000,asp250_lys100_NaCl_robotExp0
1,50,7.4,5.00E-05,0,PSL_00015105,A1,29/08/2024 10:15,Robo023,150,100,001472TG56IH,0.0625,1.6,900,asp250_lys100_NaCl_robotExp0
3,50,7.4,5.00E-05,0,PSL_00015105,B1,29/08/2024 10:15,Robo023,150,100,762101QYYR6I,7.6,5.6,1500,asp250_lys100_NaCl_robotExp0
3,50,7.4,5.00E-05,0,PSL_00015105,C1,29/08/2024 10:15,Robo023,150,100,0718189H1SCP,6.4,0.0625,800,asp250_lys100_NaCl_robotExp0
1,50,7.4,5.00E-05,0,PSL_00015105,D1,29/08/2024 10:15,Robo023,150,100,0116814W7XTD,2,7.6,1100,asp250_lys100_NaCl_robotExp0
