Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase
3.6,4.0,1
8.1,8.1,1
8.1,0.1,0
0.1,8.1,0
0.1,0.1,0
7.7,4.1,1
4.1,8.0,1
4.1,0.1,0
