Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
2.2,0.9,300.0,1
0.1,8.0,2050.0,0
8.1,6.3,1225.0,1
0.8,8.1,225.0,1
8.1,0.1,850.0,0
0.1,2.4,1625.0,0
3.2,5.9,1275.0,1
6.4,3.0,50.0,0
4.3,1.6,1275.0,0
0.1,4.3,675.0,1
4.2,8.1,50.0,1
2.4,5.1,50.0,0
7.5,2.9,1325.0,1
0.5,8.1,1200.0,1
0.1,0.6,925.0,1
5.3,0.2,450.0,0
5.5,8.1,1350.0,0
0.1,5.5,1600.0,0
8.1,0.9,200.0,1
2.1,3.3,1225.0,0
5.8,5.0,1375.0,1
0.7,3.0,75.0,0
3.9,2.5,50.0,1
2.6,0.4,925.0,1
0.1,6.7,675.0,0
0.4,4.0,2050.0,0
2.7,8.1,1350.0,1
6.3,1.3,1025.0,1
0.1,1.3,400.0,1
0.1,2.7,1075.0,0
4.1,3.7,1400.0,0
0.4,5.5,250.0,1
