Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
1.1,0.6,175.0,1
8.1,8.1,1275.0,0
0.1,5.8,1925.0,1
8.1,0.4,1025.0,1
2.3,8.1,50.0,0
4.5,4.2,1300.0,1
0.1,0.8,1475.0,0
5.7,2.7,50.0,0
0.1,4.7,750.0,0
2.8,8.1,1325.0,1
3.9,0.2,950.0,0
2.4,4.3,50.0,1
8.1,4.0,1200.0,1
1.4,3.7,1425.0,0
0.1,7.8,600.0,1
8.1,1.0,275.0,1
5.5,6.9,1375.0,0
0.3,1.8,800.0,1
4.0,0.6,250.0,1
0.2,8.1,1550.0,1
6.0,1.9,1250.0,0
6.1,0.1,625.0,0
0.4,3.0,250.0,0
2.2,1.6,1200.0,1
1.3,6.1,1350.0,1
0.9,6.0,250.0,1
0.1,3.2,1900.0,0
8.0,3.2,50.0,0
1.8,0.1,725.0,0
2.6,2.1,50.0,1
7.5,6.0,1325.0,0
3.5,6.1,1400.0,0
