Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
2.6,4.9,1325.0,0
8.1,1.2,175.0,1
8.1,8.1,1275.0,0
1.6,0.9,125.0,1
3.9,8.0,50.0,0
7.3,3.1,1325.0,1
0.1,7.9,2025.0,1
0.2,5.3,325.0,1
0.1,1.0,1225.0,0
4.8,0.2,825.0,0
0.1,3.4,2050.0,0
4.4,8.1,1225.0,1
4.8,2.5,50.0,0
1.0,8.1,1200.0,0
8.1,0.4,950.0,1
3.1,1.8,1325.0,0
1.2,8.1,450.0,1
5.5,5.4,1375.0,1
0.1,2.6,600.0,0
0.1,5.6,1600.0,0
2.3,3.8,50.0,1
2.0,0.2,775.0,0
0.1,3.6,1200.0,0
8.1,5.5,1225.0,1
2.3,6.2,125.0,1
3.9,0.5,275.0,1
5.4,1.8,1225.0,1
8.0,3.4,50.0,1
6.1,0.5,375.0,1
4.3,3.6,1400.0,0
2.6,7.0,1425.0,0
0.1,0.5,550.0,1
