Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_30_2_(mM),Phase
0.7,3.3,0
8.1,3.0,1
1.0,8.1,0
4.3,1.1,0
1.2,0.2,0
1.2,5.7,1
6.0,2.5,1
0.1,1.6,0
