Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase
3.7,7.5,1
0.7,0.5,1
8.1,1.3,1
2.0,4.1,0
4.4,0.6,0
1.0,2.4,0
2.6,5.9,1
6.3,0.8,1
